
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
0.400161,,Spot,Selected Surfaces - W2,1,ibranched,557,
5.76484,,Spot,Selected Surfaces - W2,1,ibranched,559,
3,,Spot,Selected Surfaces - W2,1,ibranched,560,
0.556027,,Spot,Selected Surfaces - W2,1,ibranched,562,
2.304,,Spot,Selected Surfaces - W2,1,ibranched,564,
1.59721,,Spot,Selected Surfaces - W2,1,ibranched,565,
1.00858,,Spot,Selected Surfaces - W2,1,ibranched,567,
0.587083,,Spot,Selected Surfaces - W2,1,ibranched,568,
2.52517,,Spot,Selected Surfaces - W2,1,ibranched,569,
1.54229,,Spot,Selected Surfaces - W2,1,ibranched,570,
1.95532,,Spot,Selected Surfaces - W2,1,ibranched,571,
2.62555,,Spot,Selected Surfaces - W2,1,ibranched,579,
1.36442,,Spot,Selected Surfaces - W2,1,ibranched,580,
2.31921,,Spot,Selected Surfaces - W2,1,ibranched,582,
2.78217,,Spot,Selected Surfaces - W2,1,ibranched,583,
21.653,,Spot,Selected Surfaces - W2,1,ibranched,584,
2.20553,,Spot,Selected Surfaces - W2,1,ibranched,587,
2.91216,,Spot,Selected Surfaces - W2,1,ibranched,588,
3.30051,,Spot,Selected Surfaces - W2,1,ibranched,589,
0.928274,,Spot,Selected Surfaces - W2,1,ibranched,591,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,592,
2.68395,,Spot,Selected Surfaces - W2,1,ibranched,593,
3.10111,,Spot,Selected Surfaces - W2,1,ibranched,594,
2,,Spot,Selected Surfaces - W2,1,ibranched,595,
1.80011,,Spot,Selected Surfaces - W2,1,ibranched,596,
1.90357,,Spot,Selected Surfaces - W2,1,ibranched,598,
2.0891,,Spot,Selected Surfaces - W2,1,ibranched,600,
3.80954,,Spot,Selected Surfaces - W2,1,ibranched,601,
3.01591,,Spot,Selected Surfaces - W2,1,ibranched,603,
2.68403,,Spot,Selected Surfaces - W2,1,ibranched,604,
2.61903,,Spot,Selected Surfaces - W2,1,ibranched,608,
1.72974,,Spot,Selected Surfaces - W2,1,ibranched,609,
4.664,,Spot,Selected Surfaces - W2,1,ibranched,611,
2.59951,,Spot,Selected Surfaces - W2,1,ibranched,615,
4.31839,,Spot,Selected Surfaces - W2,1,ibranched,617,
1.45466,,Spot,Selected Surfaces - W2,1,ibranched,620,
5.05388,,Spot,Selected Surfaces - W2,1,ibranched,621,
2.46092,,Spot,Selected Surfaces - W2,1,ibranched,625,
1.80011,,Spot,Selected Surfaces - W2,1,ibranched,627,
2.65,,Spot,Selected Surfaces - W2,1,ibranched,634,
3.9558,,Spot,Selected Surfaces - W2,1,ibranched,635,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,636,
4.27009,,Spot,Selected Surfaces - W2,1,ibranched,638,
2.10871,,Spot,Selected Surfaces - W2,1,ibranched,639,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,640,
2.49807,,Spot,Selected Surfaces - W2,1,ibranched,642,
2.34836,,Spot,Selected Surfaces - W2,1,ibranched,643,
2.23558,,Spot,Selected Surfaces - W2,1,ibranched,644,
1.80011,,Spot,Selected Surfaces - W2,1,ibranched,647,
4.23783,,Spot,Selected Surfaces - W2,1,ibranched,648,
4.25839,,Spot,Selected Surfaces - W2,1,ibranched,649,
4.19773,,Spot,Selected Surfaces - W2,1,ibranched,651,
1,,Spot,Selected Surfaces - W2,1,ibranched,652,
21.6316,,Spot,Selected Surfaces - W2,1,ibranched,653,
1.94612,,Spot,Selected Surfaces - W2,1,ibranched,654,
2.66907,,Spot,Selected Surfaces - W2,1,ibranched,655,
1.49677,,Spot,Selected Surfaces - W2,1,ibranched,658,
2.3192,,Spot,Selected Surfaces - W2,1,ibranched,660,
3.64807,,Spot,Selected Surfaces - W2,1,ibranched,662,
4.74781,,Spot,Selected Surfaces - W2,1,ibranched,663,
2.90591,,Spot,Selected Surfaces - W2,1,ibranched,665,
2.4808,,Spot,Selected Surfaces - W2,1,ibranched,666,
4.83774,,Spot,Selected Surfaces - W2,1,ibranched,667,
3.0802,,Spot,Selected Surfaces - W2,1,ibranched,668,
0.415131,,Spot,Selected Surfaces - W2,1,ibranched,669,
2.43334,,Spot,Selected Surfaces - W2,1,ibranched,670,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,672,
1.90554,,Spot,Selected Surfaces - W2,1,ibranched,674,
2.95293,,Spot,Selected Surfaces - W2,1,ibranched,675,
4.99616,,Spot,Selected Surfaces - W2,1,ibranched,678,
2.35485,,Spot,Selected Surfaces - W2,1,ibranched,680,
4.20911,,Spot,Selected Surfaces - W2,1,ibranched,681,
1.7984,,Spot,Selected Surfaces - W2,1,ibranched,683,
4.6413,,Spot,Selected Surfaces - W2,1,ibranched,684,
2.80954,,Spot,Selected Surfaces - W2,1,ibranched,685,
2.68406,,Spot,Selected Surfaces - W2,1,ibranched,686,
2.47015,,Spot,Selected Surfaces - W2,1,ibranched,687,
2.6145,,Spot,Selected Surfaces - W2,1,ibranched,688,
2.16549,,Spot,Selected Surfaces - W2,1,ibranched,689,
1.85104,,Spot,Selected Surfaces - W2,1,ibranched,690,
1.30634,,Spot,Selected Surfaces - W2,1,ibranched,691,
2.48246,,Spot,Selected Surfaces - W2,1,ibranched,693,
1.08274,,Spot,Selected Surfaces - W2,1,ibranched,694,
2.10871,,Spot,Selected Surfaces - W2,1,ibranched,695,
2.91151,,Spot,Selected Surfaces - W2,1,ibranched,696,
2.74566,,Spot,Selected Surfaces - W2,1,ibranched,697,
1.70448,,Spot,Selected Surfaces - W2,1,ibranched,699,
4.448,,Spot,Selected Surfaces - W2,1,ibranched,700,
1.5581,,Spot,Selected Surfaces - W2,1,ibranched,701,
3.34692,,Spot,Selected Surfaces - W2,1,ibranched,702,
3.56632,,Spot,Selected Surfaces - W2,1,ibranched,704,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,706,
1.71163,,Spot,Selected Surfaces - W2,1,ibranched,707,
4.8095,,Spot,Selected Surfaces - W2,1,ibranched,709,
0.830261,,Spot,Selected Surfaces - W2,1,ibranched,710,
2.10874,,Spot,Selected Surfaces - W2,1,ibranched,711,
4.73324,,Spot,Selected Surfaces - W2,1,ibranched,712,
3.39601,,Spot,Selected Surfaces - W2,1,ibranched,713,
3.08459,,Spot,Selected Surfaces - W2,1,ibranched,714,
1.98236,,Spot,Selected Surfaces - W2,1,ibranched,717,
1.76127,,Spot,Selected Surfaces - W2,1,ibranched,719,
4.5248,,Spot,Selected Surfaces - W2,1,ibranched,722,
1.92141,,Spot,Selected Surfaces - W2,1,ibranched,724,
2.71594,,Spot,Selected Surfaces - W2,1,ibranched,725,
3.16154,,Spot,Selected Surfaces - W2,1,ibranched,726,
0.977588,,Spot,Selected Surfaces - W2,1,ibranched,727,
4.62663,,Spot,Selected Surfaces - W2,1,ibranched,728,
1.85653,,Spot,Selected Surfaces - W2,1,ibranched,729,
2.88242,,Spot,Selected Surfaces - W2,1,ibranched,730,
2.59949,,Spot,Selected Surfaces - W2,1,ibranched,731,
4.25875,,Spot,Selected Surfaces - W2,1,ibranched,732,
1.54229,,Spot,Selected Surfaces - W2,1,ibranched,734,
5.19897,,Spot,Selected Surfaces - W2,1,ibranched,735,
2.34108,,Spot,Selected Surfaces - W2,1,ibranched,737,
2.62552,,Spot,Selected Surfaces - W2,1,ibranched,738,
2.84512,,Spot,Selected Surfaces - W2,1,ibranched,739,
3.98666,,Spot,Selected Surfaces - W2,1,ibranched,740,
2.47141,,Spot,Selected Surfaces - W2,1,ibranched,741,
3.68518,,Spot,Selected Surfaces - W2,1,ibranched,742,
1.29974,,Spot,Selected Surfaces - W2,1,ibranched,744,
22.2165,,Spot,Selected Surfaces - W2,1,ibranched,745,
2.04263,,Spot,Selected Surfaces - W2,1,ibranched,747,
2.48839,,Spot,Selected Surfaces - W2,1,ibranched,748,
1.76125,,Spot,Selected Surfaces - W2,1,ibranched,749,
2.95889,,Spot,Selected Surfaces - W2,1,ibranched,754,
2.65815,,Spot,Selected Surfaces - W2,1,ibranched,756,
1.43985,,Spot,Selected Surfaces - W2,1,ibranched,757,
2.3411,,Spot,Selected Surfaces - W2,1,ibranched,758,
2.29807,,Spot,Selected Surfaces - W2,1,ibranched,759,
1.71165,,Spot,Selected Surfaces - W2,1,ibranched,760,
4.52556,,Spot,Selected Surfaces - W2,1,ibranched,761,
7.08245,,Spot,Selected Surfaces - W2,1,ibranched,762,
2.93544,,Spot,Selected Surfaces - W2,1,ibranched,763,
2.07565,,Spot,Selected Surfaces - W2,1,ibranched,766,
1.95769,,Spot,Selected Surfaces - W2,1,ibranched,770,
3.49313,,Spot,Selected Surfaces - W2,1,ibranched,771,
4.74784,,Spot,Selected Surfaces - W2,1,ibranched,772,
2.12845,,Spot,Selected Surfaces - W2,1,ibranched,773,
4.27005,,Spot,Selected Surfaces - W2,1,ibranched,776,
3.76422,,Spot,Selected Surfaces - W2,1,ibranched,777,
4.60798,,Spot,Selected Surfaces - W2,1,ibranched,778,
2.59949,,Spot,Selected Surfaces - W2,1,ibranched,779,
6.12716,,Spot,Selected Surfaces - W2,1,ibranched,780,
4.71884,,Spot,Selected Surfaces - W2,1,ibranched,781,
4.19724,,Spot,Selected Surfaces - W2,1,ibranched,783,
1.35678,,Spot,Selected Surfaces - W2,1,ibranched,785,
3.55053,,Spot,Selected Surfaces - W2,1,ibranched,787,
3.75386,,Spot,Selected Surfaces - W2,1,ibranched,788,
1.68635,,Spot,Selected Surfaces - W2,1,ibranched,789,
